Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
Thrift Shop (feat. Wanz),The Heist,Macklemore & Ryan Lewis,2013,2012-10-10,235613,70,0.781,0.0619,0.781,0.526,0.0,0.0457,-6.985,0.293,94.992,4
Blurred Lines,Blurred Lines (Deluxe),Robin Thicke,2013,2013-01-01,263826,74,0.853,0.00334,0.853,0.599,7.93E-06,0.0759,-4.756,0.0411,119.993,4
Radioactive,Night Visions,Imagine Dragons,2013,2012-09-04,186813,72,0.448,0.106,0.448,0.784,0.000108,0.668,-3.686,0.0627,136.245,4
Harlem Shake,Harlem Shake,Baauer,2013,2013-02-12,196664,58,0.452,0.0111,0.452,0.794,0.00182,0.416,-5.151,0.0483,137.825,4
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,2013,2012-10-09,258342,83,0.641,0.0291,0.641,0.922,0.0,0.0862,-4.457,0.0786,146.078,4
Mirrors - Radio Edit,Mirrors (Radio Edit),Justin Timberlake,2013,2013-02-11,277306,68,0.578,0.144,0.578,0.6,0.0,0.426,-5.7,0.0455,76.999,4
Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2013,2012-09-14,242733,1,0.778,0.346,0.778,0.547,0.000302,0.132,-7.273,0.0489,95.002,4
When I Was Your Man,Unorthodox Jukebox,Bruno Mars,2013,2012-12-07,213826,83,0.612,0.932,0.612,0.28,0.0,0.088,-8.648,0.0434,72.795,4
Cruise - Remix,Here's To The Good Times...This Is How We Roll,Florida Georgia Line,2013,2013-01-01,208786,55,0.525,0.0156,0.525,0.915,0.0,0.66,-4.351,0.0789,149.042,4
Roar,PRISM (Deluxe),Katy Perry,2013,2013-10-18,223546,75,0.554,0.00487,0.554,0.772,6.6E-06,0.354,-4.821,0.0418,179.984,4
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2013,2012-12-07,233478,82,0.726,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,4
Ho Hey,The Lumineers,The Lumineers,2013,2012-04-03,163133,71,0.685,0.794,0.685,0.466,2.06E-06,0.0915,-9.074,0.0304,79.936,4
Stay,Unapologetic (Deluxe),Rihanna,2013,2012-12-11,240706,67,0.621,0.945,0.621,0.31,6.12E-05,0.117,-10.164,0.0283,111.893,4
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2013,2013-04-19,248413,77,0.794,0.0426,0.794,0.811,1.07E-06,0.101,-8.966,0.038,116.047,4
Royals,Pure Heroine,Lorde,2013,2013-09-27,190185,76,0.674,0.121,0.674,0.428,0.0,0.132,-9.504,0.122,84.878,4
I Knew You Were Trouble.,Red,Taylor Swift,2013,2012-10-22,217973,66,0.622,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,4
We Can't Stop,Bangerz (Deluxe Version),Miley Cyrus,2013,2013-10-04,231240,79,0.613,0.00882,0.613,0.622,0.0,0.37,-5.794,0.0334,80.003,4
Wrecking Ball,Bangerz (Deluxe Version),Miley Cyrus,2013,2013-10-04,221360,77,0.53,0.407,0.53,0.422,0.0,0.107,-6.262,0.0342,119.964,4
Wake Me Up,TRUE,Avicii,2013,2013-09-13,247426,55,0.532,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,4
Suit & Tie,The 20/20 Experience,Justin Timberlake,2013,2013-03-15,326280,0,0.795,0.103,0.795,0.596,0.0,0.164,-3.799,0.219,101.985,4
"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,2014,2014-03-03,232720,10,0.647,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,160.019,4
Dark Horse,PRISM (Deluxe),Katy Perry,2014,2013-10-18,215672,75,0.645,0.00314,0.645,0.585,0.0,0.165,-6.122,0.0513,131.931,4
All of Me,Love In The Future (Expanded Edition),John Legend,2014,2013-08-30,269560,86,0.422,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4
Fancy,The New Classic (Deluxe Version),Iggy Azalea,2014,2014-01-01,199938,68,0.912,0.0904,0.912,0.716,0.0,0.0491,-4.141,0.0697,94.981,4
Counting Stars,Native,OneRepublic,2014,2014-01-01,257839,73,0.664,0.0654,0.664,0.705,0.0,0.115,-4.972,0.0382,122.017,4
Talk Dirty (feat. 2 Chainz),Talk Dirty,Jason Derulo,2014,2013-09-10,177685,65,0.76,0.0348,0.76,0.652,0.0,0.307,-7.321,0.232,100.315,4
Rude,Don't Kill the Magic,MAGIC!,2014,2014-06-25,224840,79,0.774,0.0423,0.774,0.756,0.0,0.305,-4.995,0.0389,144.032,4
All About That Bass,Title (Deluxe),Meghan Trainor,2014,2015-01-09,187920,72,0.807,0.0573,0.807,0.887,2.87E-06,0.124,-3.726,0.0503,134.052,4
Problem,My Everything (Deluxe),Ariana Grande,2014,2014-08-25,193920,75,0.66,0.0192,0.66,0.805,8.83E-06,0.159,-5.352,0.153,103.008,4
Stay With Me,In The Lonely Hour,Sam Smith,2014,2014-01-01,172723,0,0.479,0.568,0.479,0.419,0.000217,0.11,-6.517,0.0389,85.014,4
Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),Pitbull,2014,2012,204160,79,0.581,0.0295,0.581,0.963,0.0,0.139,-4.087,0.0981,129.992,4
Pompeii,Bad Blood,Bastille,2014,2013-01-01,214147,71,0.679,0.0755,0.679,0.715,0.0,0.271,-6.383,0.0407,127.435,4
Shake It Off,1989,Taylor Swift,2014,2014-10-27,219200,69,0.648,0.0561,0.648,0.785,0.0,0.148,-5.414,0.165,160.02,4
Am I Wrong,Black Star Elephant,Nico & Vinz,2014,2014,245866,73,0.729,0.175,0.729,0.675,1.58E-06,0.55,-6.003,0.0312,119.968,4
Turn Down for What,Turn Down for What,DJ Snake,2014,2013-12-18,213733,72,0.818,0.00107,0.818,0.799,0.128,0.057,-4.1,0.156,100.014,4
