Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
Will It Go Round In Circles,Ultimate Collection: Billy Preston,Billy Preston,1973,268893,0.677,0.284,0.871,3.02e-05,0.405,-7.997000000000001,0.0281,98.446,4,1
You're so Vain,No Secrets,Carly Simon,1973,258411,0.659,0.157,0.6779999999999999,6.69e-06,0.0784,-8.18,0.0313,106.186,4,1
Touch Me In The Morning,Touch Me In The Morning,Diana Ross,1973,207413,0.355,0.45399999999999996,0.615,0.0,0.0477,-7.21,0.0314,137.19,4,0
The Night The Lights Went Out In Georgia,The Night The Lights Went Out In Georgia (Deluxe Edition),Vicki Lawrence,1973,220520,0.455,0.846,0.41700000000000004,0.0,0.132,-13.446,0.168,172.015,4,0
Delta Dawn,Helen Reddy's Greatest Hits (And More),Helen Reddy,1973,191093,0.5660000000000001,0.5820000000000001,0.659,0.0,0.28600000000000003,-11.975999999999999,0.0893,78.729,4,0
Me and Mrs. Jones,360 Degrees Of Billy Paul,Billy Paul,1973,285760,0.303,0.38799999999999996,0.555,1.16e-06,0.46799999999999997,-9.259,0.0482,67.322,4,0
Frankenstein,The Best Of Edgar Winter,Edgar Winter,1973,285600,0.625,0.0595,0.733,0.88,0.16399999999999998,-12.127,0.0927,95.211,4,1
Drift Away,Throwback Tunes: 70s,Various Artists,1973,234300,0.508,0.325,0.46,0.0,0.648,-7.662000000000001,0.0404,75.836,4,0
Little Willy,Rare Studio Tracks,Sweet,1973,192293,0.662,0.332,0.772,1.22e-06,0.314,-7.135,0.0356,127.025,4,1
You Are The Sunshine Of My Life,Talking Book,Stevie Wonder,1973,178200,0.519,0.823,0.46,5.9699999999999994e-05,0.243,-14.53,0.0688,132.082,4,0
Half-Breed,Half-Breed,Cher,1973,167533,0.6459999999999999,0.524,0.467,0.0,0.32899999999999996,-12.677999999999999,0.0325,102.704,4,0
The Way We Were,The Essential Barbra Streisand,Barbra Streisand,1974,210026,0.265,0.883,0.33799999999999997,0.00365,0.16,-11.109000000000002,0.033,138.372,3,2
Seasons In The Sun,Hits Of The 70s (100 Songs),Various Artists,1974,206560,0.638,0.68,0.561,2.12e-06,0.253,-9.837,0.0414,100.09299999999999,4,0
Love's Theme,The Best Of Love Unlimited Orchestra,The Love Unlimited Orchestra,1974,248266,0.589,0.0016600000000000002,0.61,0.8079999999999999,0.265,-10.542,0.0325,97.072,4,0
Come and Get Your Love - Single Version,Come and Get Your Love,Redbone,1974,205933,0.731,0.172,0.804,0.00028,0.0685,-7.621,0.0473,107.383,4,1
Dancing Machine,Dancing Machine,The Jackson 5,1974,161813,0.7759999999999999,0.133,0.794,2.35e-05,0.6890000000000001,-7.722,0.0723,109.277,4,1
The Loco-Motion - Remastered 2002,Shinin' On (Remastered 2002 / Expanded Edition),Grand Funk Railroad,1974,165800,0.456,0.375,0.9329999999999999,0.0,0.563,-5.212000000000001,0.153,125.051,4,1
TSOP (The Sound of Philadelphia) (feat. The Three Degrees),End of Phase I - A Collection of Greatest Hits,MFSB,1974,212106,0.723,0.0739,0.853,0.226,0.0979,-8.296,0.0295,114.26799999999999,4,1
The Streak,Greatest Hits - Original Recordings,Ray Stevens,1974,197733,0.685,0.647,0.521,0.0,0.9179999999999999,-14.33,0.295,119.81299999999999,4,0
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (Remastered),Elton John,1974,322548,0.665,0.259,0.6729999999999999,7.62e-06,0.49700000000000005,-7.95,0.0493,132.642,4,1
One Hell of a Woman,Greatest Hits,Mac Davis,1974,170388,0.665,0.27699999999999997,0.457,0.000124,0.0888,-15.16,0.040999999999999995,120.175,4,0
Until You Come Back to Me (That's What I'm Gonna Do),Spanish Harlem,Aretha Franklin,1974,206213,0.68,0.624,0.54,0.000908,0.11599999999999999,-9.831,0.0275,94.54799999999999,4,0
Jungle Boogie,Wild And Peaceful,Kool & The Gang,1974,186533,0.8079999999999999,0.115,0.85,0.000109,0.316,-8.772,0.0868,106.855,4,1
Midnight at the Oasis,Rhino Hi-Five: Maria Muldaur,Maria Muldaur,1974,224986,0.6629999999999999,0.09300000000000001,0.512,6.78e-06,0.327,-9.557,0.0273,99.38799999999999,4,1
You Make Me Feel Brand New,The Very Best of the Stylistics ... And More!,The Stylistics,1974,329720,0.45399999999999996,0.85,0.38299999999999995,2.8499999999999998e-05,0.11,-8.186,0.0247,75.929,4,0
Show and Tell,Show and Tell: The Best of Al Wilson,Al Wilson,1974,207986,0.37,0.303,0.418,0.0,0.0832,-11.305,0.0266,177.576,4,0
Rock On,Rock On,David Essex,1974,203917,0.6759999999999999,0.723,0.292,0.0018899999999999998,0.433,-14.448,0.34,74.798,4,0
Sunshine On My Shoulders,"Poems, Prayers and Promises",John Denver,1974,311893,0.322,0.915,0.168,0.000223,0.11699999999999999,-13.892999999999999,0.0336,146.68,4,0
Sideshow,Blue Magic,Blue Magic,1974,251520,0.586,0.8370000000000001,0.337,0.0,0.628,-13.165,0.0347,133.22899999999998,4,0
Hooked on a Feeling,Hooked On A Feeling,Blue Swede,1974,172866,0.547,0.261,0.82,0.0,0.3,-6.728,0.0805,118.208,4,1
Love Will Keep Us Together,Greatest Hits,Captain & Tennille,1975,206800,0.6809999999999999,0.317,0.484,0.0,0.121,-13.67,0.0348,129.733,4,0
Rhinestone Cowboy,Rhinestone Cowboy (Expanded Edition),Glen Campbell,1975,194453,0.644,0.102,0.633,6.82e-05,0.22699999999999998,-8.006,0.0261,115.193,4,1
Philadelphia Freedom,The Greatest Hits 1970-2002,Elton John,1975,322066,0.698,0.0255,0.7090000000000001,8.73e-05,0.0749,-5.513999999999999,0.031,125.493,4,1
Before the Next Teardrop Falls,The Freddy Fender Collection,Freddy Fender,1975,158306,0.799,0.748,0.345,2.3899999999999998e-05,0.16899999999999998,-11.52,0.0276,90.417,4,0
My Eyes Adored You,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,1975,212626,0.446,0.272,0.489,0.0,0.16,-10.26,0.033,137.829,4,0
Shining Star,That's The Way Of The World,"Earth, Wind & Fire",1975,170160,0.6759999999999999,0.6679999999999999,0.6920000000000001,0.00915,0.13,-13.093,0.052000000000000005,102.516,4,0
Fame - 1999 Remaster,Best of Bowie,David Bowie,1975,251800,0.7829999999999999,0.28600000000000003,0.6940000000000001,0.0214,0.0597,-7.854,0.0681,95.755,4,1
Laughter In The Rain,The Definitive Collection,Neil Sedaka,1975,170066,0.495,0.348,0.613,0.0058,0.0406,-9.463,0.0239,100.535,4,0
One of These Nights - 2013 Remaster,One of These Nights (2013 Remaster),Eagles,1975,291685,0.655,0.0603,0.606,0.0789,0.0757,-10.385,0.0285,110.061,4,1
Thank God I'm a Country Boy,Back Home Again,John Denver,1975,187000,0.7559999999999999,0.8590000000000001,0.521,0.0017399999999999998,0.0401,-10.855,0.0448,106.89299999999999,4,0
"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Main Course,Bee Gees,1975,222266,0.8109999999999999,0.155,0.545,0.0853,0.156,-12.969000000000001,0.0579,105.911,4,1
The Best of My Love - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,1975,274891,0.5589999999999999,0.7170000000000001,0.39299999999999996,0.0,0.0532,-11.095,0.0237,90.105,4,0
Lovin' You,Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,1975,203506,0.392,0.903,0.213,1.01e-06,0.12,-12.494000000000002,0.0415,100.51799999999999,3,2
Kung Fu Fighting,The Soul of the Kung Fu Fighter,Carl Douglas,1975,197693,0.598,0.0422,0.6729999999999999,6.840000000000001e-05,0.289,-10.431,0.0693,102.035,4,1
Black Water - Single Version,Best of The Doobies,The Doobie Brothers,1975,258159,0.5429999999999999,0.33399999999999996,0.307,0.0,0.044000000000000004,-18.253,0.0414,168.169,4,0
Ballroom Blitz,Desolation Boulevard,Sweet,1975,246573,0.644,0.0821,0.799,0.0015400000000000001,0.055,-10.856,0.0598,108.381,4,1
Another Somebody Done Somebody Wrong Song - Rerecorded,The Best of B. J. Thomas (Rerecorded),B.J. Thomas,1975,212880,0.7190000000000001,0.601,0.511,2.95e-05,0.168,-9.059,0.0303,124.978,4,0
He Don't Love You (Like I Love You),He Don't Love You,Tony Orlando & Dawn,1975,219946,0.637,0.287,0.55,1.85e-05,0.345,-12.378,0.0335,119.303,4,0
At Seventeen,Between The Lines,Janis Ian,1975,280493,0.599,0.888,0.16399999999999998,0.000612,0.121,-23.035,0.0475,125.38799999999999,4,0
Pick Up the Pieces,AWB,Average White Band,1975,239908,0.768,0.0548,0.853,0.13,0.0188,-5.915,0.0427,107.234,4,1
Silly Love Songs - Remastered 1993,Wings At The Speed Of Sound,Wings,1976,352933,0.7390000000000001,0.184,0.335,0.244,0.131,-16.23,0.0346,125.11,4,0
Don't Go Breaking My Heart,To Be Continued...,Elton John,1976,271133,0.742,0.177,0.863,5.59e-06,0.0699,-7.8229999999999995,0.038,131.19299999999998,4,1
Disco Lady,Eargasm,Johnnie Taylor,1976,267066,0.7190000000000001,0.0568,0.79,0.0,0.0573,-8.002,0.0521,103.751,4,1
"December, 1963 (Oh What a Night!)",The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,1976,201093,0.727,0.057999999999999996,0.588,5.46e-06,0.0414,-9.568,0.0253,104.413,4,1
Play That Funky Music,Shaun White Snowboarding: Official Soundtrack,Various Artists,1976,301800,0.8220000000000001,0.124,0.87,0.0,0.045,-6.257000000000001,0.0592,109.17399999999999,4,1
Kiss and Say Goodbye,The Best Of The Manhattans: Kiss And Say Goodbye,The Manhattans,1976,265626,0.5870000000000001,0.39899999999999997,0.376,2.8e-06,0.156,-13.52,0.0634,129.19899999999998,4,0
