Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
Le Freak,C'est Chic,CHIC,1979,327573,0.867,0.0453,0.746,0.0,0.12300000000000001,-7.445,0.0475,118.616,4,1
I Will Survive - Single Version,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,Gloria Gaynor,1979,198066,0.777,0.0131,0.725,0.00805,0.24600000000000002,-8.681000000000001,0.05,116.669,4,1
"Hot Stuff - 12"" Version",Bad Girls [Deluxe Edition (US Version)],Donna Summer,1979,407053,0.8079999999999999,0.00513,0.8809999999999999,0.0127,0.0688,-8.249,0.0338,120.39200000000001,4,1
Y.M.C.A.,Cruisin',Village People,1979,286666,0.75,0.0278,0.785,0.0,0.0601,-10.925999999999998,0.0591,126.361,4,1
When You're In Love With A Beautiful Woman,Pleasure & Pain,Dr. Hook,1979,178826,0.679,0.405,0.728,0.0026100000000000003,0.0506,-9.539,0.0378,109.62299999999999,4,1
Makin' It (Re-Recorded),Makin' It (Re-Recorded) - Single,David Naughton,1979,189582,0.882,0.0475,0.562,0.374,0.0338,-7.67,0.0368,129.99,4,1
Heart Of Glass - Remix,Once More Into The Bleach,Blondie,1979,351293,0.6829999999999999,0.00476,0.5489999999999999,0.0195,0.0623,-11.770999999999999,0.0376,114.939,4,1
What a Fool Believes,"Best of The Doobies, Volume II",The Doobie Brothers,1979,219573,0.6459999999999999,0.27399999999999997,0.623,0.0,0.086,-8.82,0.0337,120.65100000000001,4,1
Good Times,Risqué,CHIC,1979,495400,0.87,0.149,0.657,0.0102,0.053,-7.32,0.0522,110.596,4,1
A Little More Love (Live),Summer Nights - Live in Las Vegas,Olivia Newton-John,1979,283320,0.6809999999999999,0.011000000000000001,0.623,0.000393,0.157,-8.353,0.0466,100.00299999999999,4,1
Rock with You - Single Version,Off the Wall,Michael Jackson,1980,220626,0.8079999999999999,0.179,0.535,9.91e-05,0.158,-12.520999999999999,0.0353,114.031,4,1
Coming Up - Remastered 2011,McCartney II (Special Edition),Paul McCartney,1980,231880,0.8170000000000001,0.457,0.767,0.0723,0.0606,-7.194,0.0468,128.93,4,1
Funkytown - Single Version,80's Pop Number 1's,Various Artists,1980,245413,0.925,0.00128,0.58,0.45799999999999996,0.11199999999999999,-8.987,0.0547,122.671,4,1
It's Still Rock and Roll to Me,The Essential Billy Joel,Billy Joel,1980,177266,0.745,0.0958,0.655,1.99e-06,0.0895,-7.5889999999999995,0.166,141.429,4,1
Escape (The Pina Colada Song),Partners In Crime,Rupert Holmes,1980,276493,0.836,0.467,0.509,4.1e-06,0.0436,-13.668,0.0548,138.714,4,1
"Working My Way Back to You / Forgive Me, Girl",Smooth And Sweet,The Spinners,1980,245479,0.8370000000000001,0.415,0.703,2.7300000000000003e-05,0.153,-9.385,0.0415,121.556,4,1
Upside Down,Diana,Diana Ross,1980,245600,0.873,0.179,0.855,0.0285,0.0377,-8.559,0.0615,107.868,4,1
Bette Davis Eyes,Mistaken Identity,Kim Carnes,1980,228000,0.675,0.0204,0.649,0.0,0.0959,-10.270999999999999,0.0319,116.624,4,1
(Just Like) Starting Over - Remastered 2010,Double Fantasy Stripped Down,John Lennon,1981,236546,0.701,0.301,0.79,6.0599999999999996e-05,0.179,-6.16,0.0725,99.104,4,1
Jessie's Girl,Working Class Dog,Rick Springfield,1981,194120,0.727,0.16399999999999998,0.8320000000000001,0.0,0.105,-5.851,0.05,131.703,4,1
Celebration,Celebrate!,Kool & The Gang,1981,298866,0.885,0.145,0.664,0.0483,0.0767,-11.795,0.0524,121.632,4,1
Kiss on My List,Voices,Daryl Hall & John Oates,1981,264986,0.815,0.434,0.741,0.115,0.0689,-9.478,0.031,121.221,4,1
I Love a Rainy Night - 2009 Remaster,Number One Hits,Eddie Rabbitt,1981,189320,0.6890000000000001,0.0978,0.742,0.0,0.26,-7.325,0.0485,131.474,4,1
9 to 5,9 To 5 And Odd Jobs,Dolly Parton,1981,162466,0.5539999999999999,0.41600000000000004,0.7829999999999999,1.54e-06,0.631,-5.852,0.0457,105.39,4,1
"Believe It or Not (Theme from ""Greatest American Hero"")",America's Greatest Hero,Joey Scarbury,1981,195293,0.521,0.249,0.743,0.0,0.096,-5.903,0.0338,117.12899999999999,4,1
Morning Train (Nine to Five) - Edit,Take My Time,Sheena Easton,1981,200826,0.76,0.63,0.556,0.0,0.14800000000000002,-8.872,0.0817,121.818,4,1
Queen Of Hearts,Juice Newton's Greatest Hits,Juice Newton,1981,206866,0.669,0.21100000000000002,0.779,8.98e-05,0.132,-11.522,0.0533,169.47799999999998,4,1
Rapture,Greatest Hits: Blondie,Blondie,1981,299373,0.7240000000000001,0.113,0.7040000000000001,0.00425,0.466,-8.258,0.0511,107.486,4,1
The Tide Is High - Edit,Tide Is High,Blondie,1981,233893,0.778,0.0514,0.667,0.0312,0.092,-7.273,0.0258,96.954,4,1
Just the Two of Us (feat. Bill Withers),Love Songs,"Grover Washington, Jr.",1981,237106,0.8029999999999999,0.5760000000000001,0.488,0.0609,0.0763,-9.302999999999999,0.0803,95.771,4,1
Slow Hand,Black & White (Expanded Edition),The Pointer Sisters,1981,231960,0.826,0.40299999999999997,0.5579999999999999,1.9399999999999997e-05,0.0631,-7.766,0.0322,110.77,4,1
Physical,Physical,Olivia Newton-John,1982,224773,0.8340000000000001,0.0631,0.633,5e-05,0.313,-11.442,0.0422,123.815,4,1
Eye of the Tiger,Eye Of The Tiger,Survivor,1982,243773,0.815,0.21600000000000003,0.43799999999999994,0.000466,0.0787,-14.522,0.0346,108.965,4,1
I Love Rock 'N Roll,I Love Rock 'N' Roll (Expanded Edition),Joan Jett & The Blackhearts,1982,175173,0.535,0.326,0.716,0.0,0.659,-5.025,0.0431,94.37899999999999,4,1
Ebony And Ivory - Remixed 2015,Tug Of War,Paul McCartney,1982,226266,0.5670000000000001,0.0784,0.6920000000000001,0.0,0.0338,-7.881,0.0379,160.697,4,1
Centerfold,Freeze Frame,The J. Geils Band,1982,216533,0.653,0.249,0.677,0.0,0.40299999999999997,-12.244000000000002,0.0396,114.37,4,1
Don't You Want Me,Dare!,The Human League,1982,236920,0.731,0.184,0.738,0.0,0.214,-8.125,0.0377,117.656,4,1
Jack & Diane,American Fool,John Mellencamp,1982,254493,0.8109999999999999,0.0365,0.41,6.63e-06,0.0799,-8.214,0.0391,103.965,4,1
Hurts So Good,American Fool,John Mellencamp,1982,218960,0.785,0.042,0.737,0.00010700000000000001,0.10800000000000001,-5.306,0.0363,125.447,4,1
Abracadabra,Steve Miller Band,Steve Miller Band,1982,307400,0.79,0.0775,0.537,3.01e-06,0.17300000000000001,-13.272,0.036000000000000004,127.51100000000001,4,1
I Can't Go for That (No Can Do),Private Eyes (Expanded Edition),Daryl Hall & John Oates,1982,307306,0.889,0.0405,0.441,0.000788,0.038,-9.506,0.0379,110.565,4,1
