Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
Love's Theme,The Best Of Love Unlimited Orchestra,The Love Unlimited Orchestra,1974,248266,0.589,0.0016600000000000002,0.61,0.8079999999999999,0.265,-10.542,0.0325,97.072,4,2
The Streak,Greatest Hits - Original Recordings,Ray Stevens,1974,197733,0.685,0.647,0.521,0.0,0.9179999999999999,-14.33,0.295,119.81299999999999,4,2
One Hell of a Woman,Greatest Hits,Mac Davis,1974,170388,0.665,0.27699999999999997,0.457,0.000124,0.0888,-15.16,0.040999999999999995,120.175,4,2
Until You Come Back to Me (That's What I'm Gonna Do),Spanish Harlem,Aretha Franklin,1974,206213,0.68,0.624,0.54,0.000908,0.11599999999999999,-9.831,0.0275,94.54799999999999,4,2
Midnight at the Oasis,Rhino Hi-Five: Maria Muldaur,Maria Muldaur,1974,224986,0.6629999999999999,0.09300000000000001,0.512,6.78e-06,0.327,-9.557,0.0273,99.38799999999999,4,2
You Make Me Feel Brand New,The Very Best of the Stylistics ... And More!,The Stylistics,1974,329720,0.45399999999999996,0.85,0.38299999999999995,2.8499999999999998e-05,0.11,-8.186,0.0247,75.929,4,2
Show and Tell,Show and Tell: The Best of Al Wilson,Al Wilson,1974,207986,0.37,0.303,0.418,0.0,0.0832,-11.305,0.0266,177.576,4,2
Rock On,Rock On,David Essex,1974,203917,0.6759999999999999,0.723,0.292,0.0018899999999999998,0.433,-14.448,0.34,74.798,4,2
Sunshine On My Shoulders,"Poems, Prayers and Promises",John Denver,1974,311893,0.322,0.915,0.168,0.000223,0.11699999999999999,-13.892999999999999,0.0336,146.68,4,2
Sideshow,Blue Magic,Blue Magic,1974,251520,0.586,0.8370000000000001,0.337,0.0,0.628,-13.165,0.0347,133.22899999999998,4,2
Love Will Keep Us Together,Greatest Hits,Captain & Tennille,1975,206800,0.6809999999999999,0.317,0.484,0.0,0.121,-13.67,0.0348,129.733,4,2
Before the Next Teardrop Falls,The Freddy Fender Collection,Freddy Fender,1975,158306,0.799,0.748,0.345,2.3899999999999998e-05,0.16899999999999998,-11.52,0.0276,90.417,4,2
My Eyes Adored You,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,1975,212626,0.446,0.272,0.489,0.0,0.16,-10.26,0.033,137.829,4,2
Shining Star,That's The Way Of The World,"Earth, Wind & Fire",1975,170160,0.6759999999999999,0.6679999999999999,0.6920000000000001,0.00915,0.13,-13.093,0.052000000000000005,102.516,4,2
Laughter In The Rain,The Definitive Collection,Neil Sedaka,1975,170066,0.495,0.348,0.613,0.0058,0.0406,-9.463,0.0239,100.535,4,2
One of These Nights - 2013 Remaster,One of These Nights (2013 Remaster),Eagles,1975,291685,0.655,0.0603,0.606,0.0789,0.0757,-10.385,0.0285,110.061,4,2
Thank God I'm a Country Boy,Back Home Again,John Denver,1975,187000,0.7559999999999999,0.8590000000000001,0.521,0.0017399999999999998,0.0401,-10.855,0.0448,106.89299999999999,4,2
"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Main Course,Bee Gees,1975,222266,0.8109999999999999,0.155,0.545,0.0853,0.156,-12.969000000000001,0.0579,105.911,4,2
The Best of My Love - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,1975,274891,0.5589999999999999,0.7170000000000001,0.39299999999999996,0.0,0.0532,-11.095,0.0237,90.105,4,2
Black Water - Single Version,Best of The Doobies,The Doobie Brothers,1975,258159,0.5429999999999999,0.33399999999999996,0.307,0.0,0.044000000000000004,-18.253,0.0414,168.169,4,2
Another Somebody Done Somebody Wrong Song - Rerecorded,The Best of B. J. Thomas (Rerecorded),B.J. Thomas,1975,212880,0.7190000000000001,0.601,0.511,2.95e-05,0.168,-9.059,0.0303,124.978,4,2
He Don't Love You (Like I Love You),He Don't Love You,Tony Orlando & Dawn,1975,219946,0.637,0.287,0.55,1.85e-05,0.345,-12.378,0.0335,119.303,4,2
At Seventeen,Between The Lines,Janis Ian,1975,280493,0.599,0.888,0.16399999999999998,0.000612,0.121,-23.035,0.0475,125.38799999999999,4,2
Silly Love Songs - Remastered 1993,Wings At The Speed Of Sound,Wings,1976,352933,0.7390000000000001,0.184,0.335,0.244,0.131,-16.23,0.0346,125.11,4,2
Kiss and Say Goodbye,The Best Of The Manhattans: Kiss And Say Goodbye,The Manhattans,1976,265626,0.5870000000000001,0.39899999999999997,0.376,2.8e-06,0.156,-13.52,0.0634,129.19899999999998,4,2
50 Ways to Leave Your Lover,Still Crazy After All These Years,Paul Simon,1976,217346,0.815,0.166,0.37200000000000005,0.00011599999999999999,0.0767,-12.814,0.0752,101.684,4,2
Love Is Alive,The Dream Weaver,Gary Wright,1976,230106,0.77,0.0614,0.5529999999999999,0.00106,0.10300000000000001,-13.632,0.0268,98.346,4,2
A Fifth Of Beethoven,Saturday Night Fever (The Original Movie Soundtrack),Various Artists,1976,182533,0.6920000000000001,0.292,0.508,0.759,0.061,-13.3,0.0426,108.75,4,2
Afternoon Delight,Starland Vocal Band,Starland Vocal Band,1976,193040,0.491,0.529,0.439,0.0,0.102,-11.67,0.0301,147.062,4,2
I Write The Songs,The Greatest Songs Of The Seventies,Barry Manilow,1976,239186,0.397,0.835,0.381,0.0,0.0829,-8.552999999999999,0.0294,148.649,4,2
Fly Robin Fly,Silver Convention - Fly Robin Fly,Silver Convention,1976,230920,0.826,0.00719,0.406,0.731,0.0725,-14.152999999999999,0.0317,100.27799999999999,4,2
Love Hangover - Single Version,Diana Ross (Expanded Edition),Diana Ross,1976,229373,0.5,0.306,0.7609999999999999,0.0059299999999999995,0.0431,-9.5,0.0415,111.539,4,2
Get Closer,Get Closer,Seals and Crofts,1976,238146,0.653,0.434,0.43700000000000006,6.74e-05,0.0689,-12.640999999999998,0.027999999999999997,96.469,4,2
Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),Queen,1976,354320,0.392,0.28800000000000003,0.402,0.0,0.243,-9.961,0.0536,143.88299999999998,4,2
Best of My Love,The Best Of The Emotions: Best Of My Love,The Emotions,1977,219933,0.764,0.45,0.57,0.36200000000000004,0.0812,-11.360999999999999,0.0348,115.376,4,2
"Evergreen (Love Theme from, ""A Star Is Born"")",A Star Is Born,Barbra Streisand,1977,184800,0.335,0.932,0.303,0.0271,0.0907,-10.943,0.0315,114.22399999999999,4,2
I Like Dreamin',All-Time Greatest Performances,Kenny Nolan,1977,212066,0.391,0.47,0.503,2.7600000000000003e-05,0.0667,-11.629000000000001,0.0337,136.963,4,2
Don't Leave Me This Way - Single Version,Motown 1970s Vol. 1,Various Artists,1977,218773,0.546,0.198,0.6559999999999999,1.79e-06,0.0813,-11.520999999999999,0.0649,121.045,4,2
Undercover Angel - Rerecorded Version,The Wonderful World of the 70's: 100 Hit Songs,Various Artists,1977,217440,0.672,0.321,0.527,0.0,0.0756,-9.94,0.0374,103.12200000000001,4,2
Torn Between Two Lovers,Just Mary,Mary MacGregor,1977,231732,0.551,0.898,0.479,0.0901,0.14800000000000002,-9.2,0.0301,130.248,4,2
Margaritaville,Songs You Know By Heart,Jimmy Buffett,1977,249200,0.7929999999999999,0.634,0.474,0.0005099999999999999,0.0951,-15.902999999999999,0.0378,125.14299999999999,4,2
Telephone Line,A New World Record,Electric Light Orchestra,1977,280360,0.467,0.7709999999999999,0.36700000000000005,2.27e-05,0.0847,-8.164,0.0298,70.85600000000001,4,2
Do You Wanna Make Love - Rerecorded Version,The Wonderful World of the 70's: 100 Hit Songs,Various Artists,1977,204400,0.552,0.177,0.451,0.0,0.1,-10.993,0.0317,112.70299999999999,4,2
Sir Duke,Songs In The Key Of Life,Stevie Wonder,1977,234093,0.5760000000000001,0.16,0.579,0.0,0.0777,-9.628,0.0769,106.978,4,2
Hotel California - 2013 Remaster,Hotel California (2013 Remaster),Eagles,1977,391376,0.579,0.0057399999999999994,0.508,0.0004940000000000001,0.0575,-9.484,0.027000000000000003,147.125,4,2
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Tales From The Brothers Gibb,Bee Gees,1978,281666,0.7120000000000001,0.0752,0.552,0.0012,0.15,-15.485,0.0363,103.604,4,2
Kiss You All Over,Choice Country Cuts,Exile,1978,212080,0.703,0.36200000000000004,0.475,1.7e-05,0.485,-9.529,0.0254,102.421,4,2
How Deep Is Your Love,Tales From The Brothers Gibb,Bee Gees,1978,241360,0.623,0.271,0.18899999999999997,2.24e-06,0.257,-17.374000000000002,0.0291,104.985,4,2
(Love Is) Thicker Than Water,Flowing Rivers,Andy Gibb,1978,255960,0.5820000000000001,0.13699999999999998,0.462,4.98e-05,0.0755,-9.882,0.0254,96.361,4,2
Grease,Grease,Various Artists,1978,205733,0.821,0.249,0.365,0.0,0.0883,-12.118,0.0676,109.63799999999999,4,2
I Go Crazy - Single Version,The Best of Paul Davis (Expanded Edition),Paul Davis,1978,232266,0.531,0.42200000000000004,0.391,5.539999999999999e-05,0.266,-9.606,0.0262,139.805,4,2
Emotion,Emotion,Samantha Sang,1978,237293,0.52,0.76,0.364,1.36e-05,0.251,-9.484,0.0427,184.24400000000003,4,2
Lay Down Sally,Slowhand 35th Anniversary (Super Deluxe),Eric Clapton,1978,236093,0.69,0.598,0.5,0.0288,0.11,-16.145,0.0909,191.53900000000002,4,2
Just the Way You Are,The Stranger (Legacy Edition),Billy Joel,1978,290573,0.589,0.703,0.45299999999999996,2.54e-05,0.134,-8.912,0.0397,139.148,4,2
With A Little Luck - Remastered 1993,London Town,Wings,1978,344773,0.652,0.069,0.37200000000000005,0.000197,0.0923,-15.445,0.0321,111.984,4,2
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) - Edit",Les Plus Grands Success De Chic - Chic's Greatest Hits,CHIC,1978,227106,0.867,0.0227,0.52,0.0513,0.115,-15.043,0.0614,123.346,4,2
Do Ya Think I'm Sexy,Do Ya Think I'm Sexy? / Scarred and Scared,Rod Stewart,1979,325813,0.716,0.0107,0.465,0.000667,0.099,-15.205,0.0307,112.087,4,2
Reunited,2 Hot!,Peaches & Herb,1979,345240,0.5589999999999999,0.851,0.496,0.0061600000000000005,0.147,-9.437000000000001,0.0262,75.69,4,2
Ring My Bell,Ring My Bell,Anita Ward,1979,491933,0.78,0.0613,0.551,0.10400000000000001,0.0331,-13.038,0.0625,126.009,4,2
Too Much Heaven,Spirits Having Flown,Bee Gees,1979,296000,0.505,0.436,0.433,9.87e-05,0.743,-12.997,0.0589,165.81799999999998,4,2
MacArthur Park - Single Version,On The Radio: Greatest Hits Volumes I & II,Donna Summer,1979,235200,0.573,0.0817,0.672,0.000752,0.0601,-12.296,0.0406,131.054,4,2
Fire,Fire! The Very Best of The Pointer Sisters,The Pointer Sisters,1979,208600,0.731,0.158,0.44799999999999995,5.3200000000000006e-05,0.075,-14.884,0.0443,118.2,4,2
Tragedy,Spirits Having Flown,Bee Gees,1979,303333,0.667,0.092,0.5489999999999999,0.0056,0.242,-10.651,0.0276,117.97,4,2
Heart Of Glass - Remix,Once More Into The Bleach,Blondie,1979,351293,0.6829999999999999,0.00476,0.5489999999999999,0.0195,0.0623,-11.770999999999999,0.0376,114.939,4,2
Call Me,Best Of Blondie,Blondie,1980,212893,0.551,0.0336,0.628,0.000194,0.151,-13.799000000000001,0.036000000000000004,142.167,4,2
"Another Brick in the Wall, Pt. 2",The Wall,Pink Floyd,1980,238746,0.6940000000000001,0.0781,0.39399999999999996,0.000677,0.247,-15.880999999999998,0.0428,104.126,4,2
Rock with You - Single Version,Off the Wall,Michael Jackson,1980,220626,0.8079999999999999,0.179,0.535,9.91e-05,0.158,-12.520999999999999,0.0353,114.031,4,2
Do That To Me One More Time,The Ultimate Collection: Captain & Tennille,Captain & Tennille,1980,254773,0.6859999999999999,0.637,0.442,0.00183,0.0975,-12.025,0.0258,90.009,4,2
Crazy Little Thing Called Love - Remastered 2011,The Game (Deluxe Remastered Version),Queen,1980,163373,0.599,0.7140000000000001,0.762,4.43e-06,0.35,-6.8870000000000005,0.0423,76.961,4,2
Escape (The Pina Colada Song),Partners In Crime,Rupert Holmes,1980,276493,0.836,0.467,0.509,4.1e-06,0.0436,-13.668,0.0548,138.714,4,2
Cruisin',The Definitive Collection,Smokey Robinson,1980,353520,0.473,0.21600000000000003,0.62,0.0,0.35200000000000004,-6.9079999999999995,0.028999999999999998,168.91400000000002,4,2
Lost In Love,Ultimate Air Supply,Air Supply,1980,231133,0.59,0.37,0.589,1.22e-06,0.162,-9.859,0.03,114.471,4,2
Little Jeannie,The Greatest Hits 1970-2002,Elton John,1980,304893,0.618,0.364,0.5479999999999999,1.3699999999999998e-05,0.0978,-10.674000000000001,0.0266,143.602,4,2
Ride Like the Wind,Christopher Cross,Christopher Cross,1980,275506,0.669,0.34700000000000003,0.7070000000000001,0.0007160000000000001,0.0997,-13.66,0.0478,124.335,4,2
Please Don't Go - Single Version,Do You Wanna Go Party,KC & The Sunshine Band,1980,230533,0.48200000000000004,0.008879999999999999,0.615,1.78e-06,0.0431,-11.093,0.0398,96.307,4,2
Babe,Cornerstone,Styx,1980,265973,0.267,0.527,0.204,0.0,0.0924,-13.714,0.0317,169.486,4,2
"Endless Love - From ""The Endless Love"" Soundtrack",The Definitive Collection,Lionel Richie,1981,266266,0.456,0.665,0.332,0.000248,0.138,-9.775,0.025,93.633,4,2
Lady - Remastered 2006,Number Ones,Kenny Rogers,1981,231266,0.455,0.633,0.267,4.65e-06,0.132,-13.155999999999999,0.0311,67.858,4,2
